date,coal_pct,coal_lag1,coal_lag2,coal_ma5,oil_pct,oil_lag1,oil_lag2,oil_ma5,gold_pct,gold_lag1,gold_lag2,gold_ma5,cpo_pct,cpo_lag1,cpo_lag2,cpo_ma5,beras_pct,beras_lag1,beras_lag2,beras_ma5,gandum_pct,gandum_lag1,gandum_lag2,gandum_ma5,jagung_pct,jagung_lag1,jagung_lag2,jagung_ma5,kedelai_pct,kedelai_lag1,kedelai_lag2,kedelai_ma5
2023-04-11,-0.039808287058274106,0.0,-0.03210845662486239,-0.025741315879439952,0.016987411499069127,-0.011043261408306249,0.0015296492067322642,0.0016031693212581466,0.007893053860986932,-0.011332595333490958,-0.004453461275309434,0.002084166774438012,0.006408389163996553,-0.0017446932247746627,-0.012349224583572682,-0.0010930219179657863,0.03321145642900669,-0.01352569882777277,-0.01158645276292336,-0.001492626425458221,-0.0066322770817980325,0.004441154700222105,-0.009530791788856297,-0.00570008769365693,-0.004587155963302725,0.01631701631701632,-0.01417081577939483,-0.0020694412508622806,0.00672381912926534,-0.0035175879396984744,-0.012243547319655823,-0.0032867434680123875
2023-04-12,0.019193857965451144,-0.039808287058274106,0.0,-0.015473332300414477,0.02009112496718224,0.016987411499069127,-0.011043261408306249,0.005625645813317481,0.003042685274026846,0.007893053860986932,-0.011332595333490958,-0.0011244938978753893,-0.017076700434153436,0.006408389163996553,-0.0017446932247746627,-0.009156876295784433,0.03509289295193163,0.03321145642900669,-0.01352569882777277,0.009088734752451533,0.008160237388723957,-0.0066322770817980325,0.004441154700222105,-0.0035278553579303207,0.007680491551459223,-0.004587155963302725,0.01631701631701632,0.0006912442396314056,0.004675237936216492,0.00672381912926534,-0.0035175879396984744,-0.001765372060488879
2023-04-13,0.01092276420521432,0.019193857965451144,-0.039808287058274106,-0.00882199882834589,-0.014199077833101703,0.02009112496718224,0.016987411499069127,0.0025747219658684983,0.015117620988104763,0.003042685274026846,0.007893053860986932,0.0020323607451571135,-0.006183745583038913,-0.017076700434153436,0.006408389163996553,-0.006219122348154582,-0.0002849002849002469,0.03509289295193163,0.03321145642900669,0.008473571936477908,-0.01839587932303166,0.008160237388723957,-0.0066322770817980325,-0.004425431479569308,-0.005716463414634165,0.007680491551459223,-0.004587155963302725,-0.00015350372246525357,-0.002160545122153912,0.004675237936216492,0.00672381912926534,-0.0013347125362874745
2023-04-14,0.013412839736889337,0.01092276420521432,0.019193857965451144,0.0005235693515401874,0.002555479498914659,-0.014199077833101703,0.02009112496718224,0.0027782196132062342,-0.019154507774933327,0.015117620988104763,0.003042685274026846,-0.0009644137129112273,-0.002074074074074117,-0.006183745583038913,-0.017076700434153436,-0.004152532459936742,-0.009119407238529442,-0.0002849002849002469,0.03509289295193163,0.008813678829543425,0.023238380809595283,-0.01839587932303166,0.008160237388723957,0.0020743813898354,0.02146416251437322,-0.005716463414634165,0.007680491551459223,0.006985491671144484,-0.00033311125916057893,-0.002160545122153912,0.004675237936216492,0.0010691970998029099
2023-04-17,0.0011028962976791234,0.013412839736889337,0.01092276420521432,0.0007475517781925234,-0.017958469078985018,0.002555479498914659,-0.014199077833101703,0.001350348844262772,-0.0039956049321235865,-0.019154507774933327,0.015117620988104763,0.0005075461084118604,0.005641330166270775,-0.002074074074074117,-0.006183745583038913,-0.0027015915898279674,-0.0031636468219730096,-0.009119407238529442,-0.0002849002849002469,0.010716989923699627,0.02051282051282044,0.023238380809595283,-0.01839587932303166,0.005323081472719204,0.01538461538461533,0.02146416251437322,-0.005716463414634165,0.006860801951517059,0.010996334555148257,-0.00033311125916057893,-0.002160545122153912,0.003971830045726099
2023-04-18,0.003672420289494438,0.0011028962976791234,0.013412839736889337,0.009561505914727153,0.0001179153679098377,-0.017958469078985018,0.002555479498914659,-0.001953043409126498,0.0066192325571117205,-0.0039956049321235865,-0.019154507774933327,0.0002586165456088807,0.015352819604369738,0.005641330166270775,-0.002074074074074117,-0.0009422295506742451,0.0005770340450086398,-0.0031636468219730096,-0.009119407238529442,0.004437273093989447,0.002153625269203152,0.02051282051282044,0.023238380809595283,0.0070598617443742295,0.0014781966001478075,0.01538461538461533,0.02146416251437322,0.008025439127801404,0.0014831905075807228,0.010996334555148257,-0.00033311125916057893,0.002925531914893753
2023-04-19,0.0051226654833333995,0.003672420289494438,0.0011028962976791234,0.006807260388288938,-0.01946436194201895,0.0001179153679098377,-0.017958469078985018,-0.009807573820871385,-0.00607754961333562,0.0066192325571117205,-0.0039956049321235865,-0.0015612642444498004,-0.004070950857807509,0.015352819604369738,0.005641330166270775,0.0017094017094017033,-0.012687427912341454,0.0005770340450086398,-0.0031636468219730096,-0.004934021801491606,-0.02328080229226359,0.002153625269203152,0.02051282051282044,0.0006572221410836576,-0.007749077490774914,0.0014781966001478075,0.01538461538461533,0.004882079014571161,-0.008392298831660372,0.0014831905075807228,0.010996334555148257,0.0002983293556084732
2023-04-20,0.008372725485120691,0.0051226654833333995,0.003672420289494438,0.006320280898981068,-0.02430226426507187,-0.01946436194201895,0.0001179153679098377,-0.011739790418797802,0.006214928186410118,-0.00607754961333562,0.0066192325571117205,-0.0033564807314546696,-0.0020437956204379937,-0.004070950857807509,0.015352819604369738,0.002530304813463502,-0.01985981308411211,-0.012687427912341454,0.0005770340450086398,-0.008821494464944735,-0.0205353868720205,-0.02328080229226359,0.002153625269203152,0.00021893016127849663,-0.012644105615470469,-0.007749077490774914,0.0014781966001478075,0.0034382240825172605,-0.0059741121805509945,-0.008392298831660372,0.0014831905075807228,-0.0004639294827185614
2023-04-21,-0.0007220657293547372,0.008372725485120691,0.0051226654833333995,0.003505431852595997,0.006905119587233832,-0.02430226426507187,-0.01946436194201895,-0.011069832698924809,-0.013996800123359243,0.006214928186410118,-0.00607754961333562,-0.00226849794177586,0.0,-0.0020437956204379937,-0.004070950857807509,0.0029347889886717216,0.008045292014302818,-0.01985981308411211,-0.012687427912341454,-0.0054679774300505635,-0.008985398727068494,-0.0205353868720205,-0.02328080229226359,-0.006055742010798171,-0.0007532956685498693,-0.012644105615470469,-0.007749077490774914,-0.0008938547486033732,-0.009348914858096857,-0.0059741121805509945,-0.008392298831660372,-0.0022544176640255653
2023-04-24,-0.0003611834911361189,-0.0007220657293547372,0.008372725485120691,0.003202113741531898,0.013103106133225628,0.006905119587233832,-0.02430226426507187,-0.004886735421393507,0.004849697189157398,-0.013996800123359243,0.006214928186410118,-0.0005108199837560168,0.0,0.0,-0.0020437956204379937,0.0018142447474687184,0.0014779781259237623,0.008045292014302818,-0.01985981308411211,-0.004562203895420169,-0.02757839063090295,-0.008985398727068494,-0.0205353868720205,-0.015561917345665477,-0.018092725216735772,-0.0007532956685498693,-0.012644105615470469,-0.007530008200998917,-0.012301988540613373,-0.009348914858096857,-0.0059741121805509945,-0.00687821897325136
