judul,sumber,tanggal,skor,saham,link
Bahlil Lapor Prabowo Tambahan Proyek Hilirisasi Rp 239 T,Detik Finance,"Thu, 26 Mar 2026 10:49:27 +070",0,,https://finance.detik.com/energi/d-8415924/bahlil-lapor-prabowo-tambahan-proyek-hilirisasi-rp-239-t
Kemnaker Terima Aduan 1.461 Kasus soal THR,Detik Finance,"Thu, 26 Mar 2026 10:32:35 +070",-1,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415896/kemnaker-terima-aduan-1-461-kasus-soal-thr
"Saham BUMI Melempem Lagi, Sekarang Dijual di Harga Segini",Detik Finance,"Thu, 26 Mar 2026 10:25:39 +070",0,,https://finance.detik.com/bursa-dan-valas/d-8415885/saham-bumi-melempem-lagi-sekarang-dijual-di-harga-segini
"Bahlil Tak Mau Buru-buru Naikkan Produksi Batu Bara-Nikel, Ini Alasannya",Detik Finance,"Thu, 26 Mar 2026 10:16:29 +070",1,,https://finance.detik.com/energi/d-8415861/bahlil-tak-mau-buru-buru-naikkan-produksi-batu-bara-nikel-ini-alasannya
Tersangka Kasus BPR Malang Diciduk di Stasiun Gambir,Detik Finance,"Thu, 26 Mar 2026 10:08:15 +070",-2,,https://finance.detik.com/moneter/d-8415852/tersangka-kasus-bpr-malang-diciduk-di-stasiun-gambir
"Saham Garuda Tiba-tiba Terbang, Ada Apa?",Detik Finance,"Thu, 26 Mar 2026 10:01:14 +070",0,,https://finance.detik.com/bursa-dan-valas/d-8415845/saham-garuda-tiba-tiba-terbang-ada-apa
IHSG Bergerak di Dua Arah Pagi Ini,Detik Finance,"Thu, 26 Mar 2026 09:39:06 +070",0,,https://finance.detik.com/bursa-dan-valas/d-8415822/ihsg-bergerak-di-dua-arah-pagi-ini
"Harga Emas Antam Stagnan, Buyback Turun!",Detik Finance,"Thu, 26 Mar 2026 09:31:52 +070",1,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415809/harga-emas-antam-stagnan-buyback-turun
Rupiah Menguat Lawan Dolar AS ke Rp 16.897,Detik Finance,"Thu, 26 Mar 2026 09:28:40 +070",1,,https://finance.detik.com/bursa-dan-valas/d-8415804/rupiah-menguat-lawan-dolar-as-ke-rp-16-897
"Kinerja ASLC Melesat, WBSA Siap IPO Saat IHSG Ditutup Naik 2,75%",Detik Finance,"Thu, 26 Mar 2026 09:14:43 +070",1,,https://finance.detik.com/bursa-dan-valas/d-8415792/kinerja-aslc-melesat-wbsa-siap-ipo-saat-ihsg-ditutup-naik-2-75
Subsidi BBM Malaysia Bengkak hingga 4 Kali Lipat Gara-gara Perang Timur Tengah,Detik Finance,"Thu, 26 Mar 2026 09:10:26 +070",-1,,https://finance.detik.com/energi/d-8415714/subsidi-bbm-malaysia-bengkak-hingga-4-kali-lipat-gara-gara-perang-timur-tengah
"1.528 Dapur MBG Kena Suspend, Ini Biang Keroknya",Detik Finance,"Thu, 26 Mar 2026 09:05:51 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415694/1-528-dapur-mbg-kena-suspend-ini-biang-keroknya
"Vietnam &amp; Australia Terdampak Konflik Timur Tengah, Krisis BBM di Depan Mata",Detik Finance,"Thu, 26 Mar 2026 09:00:38 +070",-1,,https://finance.detik.com/energi/d-8415593/vietnam-australia-terdampak-konflik-timur-tengah-krisis-bbm-di-depan-mata
Cerita SBY Selamatkan Ekonomi Saat Harga Minyak Meroket,Detik Finance,"Thu, 26 Mar 2026 08:45:26 +070",0,,https://finance.detik.com/energi/d-8415590/cerita-sby-selamatkan-ekonomi-saat-harga-minyak-meroket
Rencana Besar Friderica Usai Resmi Jadi Bos OJK,Detik Finance,"Thu, 26 Mar 2026 08:30:05 +070",0,,https://finance.detik.com/moneter/d-8415506/rencana-besar-friderica-usai-resmi-jadi-bos-ojk
