ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hasil_rp,exit_reason,menang,hold_hari
NASI,2025-09-18,2025-09-19,120.0,118.0,-2.5,-349960.0,SL,False,1
OKAS,2025-09-18,2025-09-19,256.0,251.0,-2.5,-349960.0,SL,False,1
MIRA,2025-09-19,2025-09-22,66.0,68.0,2.5,344127.0,TP,True,1
VKTR,2025-09-19,2025-09-22,176.0,172.0,-2.5,-344127.0,SL,False,1
PTRO,2025-09-19,2025-09-22,5300.0,5459.0,2.5,344127.0,TP,True,1
MAPI,2025-09-19,2025-09-22,1205.0,1181.0,-2.5,-344127.0,SL,False,1
MLPT,2025-09-18,2025-09-23,157225.0,157225.0,-0.5,-69992.0,H+3,False,3
FISH,2025-09-22,2025-09-23,2010.0,2070.0,2.5,344127.0,TP,True,1
TALF,2025-09-22,2025-09-23,680.0,666.0,-2.5,-344127.0,SL,False,1
VKTR,2025-09-22,2025-09-23,175.0,180.0,2.5,344127.0,TP,True,1
PICO,2025-09-22,2025-09-23,280.0,274.0,-2.5,-344127.0,SL,False,1
SKBM,2025-09-23,2025-09-24,675.0,662.0,-2.5,-343836.0,SL,False,1
MDRN,2025-09-23,2025-09-24,55.0,57.0,2.5,343836.0,TP,True,1
FISH,2025-09-23,2025-09-24,2510.0,2585.0,2.5,343836.0,TP,True,1
WIIM,2025-09-23,2025-09-24,1310.0,1284.0,-2.5,-343836.0,SL,False,1
TALF,2025-09-23,2025-09-24,605.0,593.0,-2.5,-343836.0,SL,False,1
MDRN,2025-09-24,2025-09-25,60.0,62.0,2.5,342403.0,TP,True,1
GIAA,2025-09-24,2025-09-25,99.0,97.0,-2.5,-342403.0,SL,False,1
WIIM,2025-09-24,2025-09-25,1250.0,1288.0,2.5,342403.0,TP,True,1
LAND,2025-09-24,2025-09-25,57.0,56.0,-2.5,-342403.0,SL,False,1
SKBM,2025-09-24,2025-09-25,575.0,564.0,-2.5,-342403.0,SL,False,1
MDRN,2025-09-25,2025-09-26,66.0,65.0,-2.5,-340976.0,SL,False,1
UANG,2025-09-25,2025-09-26,2720.0,2802.0,2.5,340976.0,TP,True,1
WIIM,2025-09-25,2025-09-26,1335.0,1308.0,-2.5,-340976.0,SL,False,1
TINS,2025-09-25,2025-09-26,1405.0,1377.0,-2.5,-340976.0,SL,False,1
AMIN,2025-09-25,2025-09-26,266.0,261.0,-2.5,-340976.0,SL,False,1
UANG,2025-09-26,2025-09-29,2990.0,2930.0,-2.5,-336714.0,SL,False,1
MDRN,2025-09-26,2025-09-29,60.0,59.0,-2.5,-336714.0,SL,False,1
PICO,2025-09-26,2025-09-29,336.0,346.0,2.5,336714.0,TP,True,1
ANJT,2025-09-26,2025-09-29,2190.0,2146.0,-2.5,-336714.0,SL,False,1
RANC,2025-09-26,2025-09-30,810.0,834.0,2.5,336714.0,TP,True,2
HERO,2025-09-29,2025-09-30,655.0,642.0,-2.5,-333908.0,SL,False,1
UANG,2025-09-29,2025-09-30,3150.0,3244.0,2.5,333908.0,TP,True,1
RICY,2025-09-29,2025-10-01,72.0,71.0,-2.5,-333908.0,SL,False,2
OILS,2025-09-30,2025-10-01,260.0,255.0,-2.5,-335311.0,SL,False,1
HERO,2025-09-30,2025-10-01,775.0,760.0,-2.5,-335311.0,SL,False,1
UANG,2025-09-30,2025-10-01,3460.0,3564.0,2.5,335311.0,TP,True,1
MLPT,2025-09-29,2025-10-02,149000.0,153470.0,2.5,333908.0,TP,True,3
MLPL,2025-10-01,2025-10-02,230.0,237.0,2.5,332523.0,TP,True,1
UANG,2025-10-01,2025-10-02,3800.0,3914.0,2.5,332523.0,TP,True,1
OILS,2025-10-01,2025-10-02,266.0,261.0,-2.5,-332523.0,SL,False,1
PDES,2025-10-01,2025-10-02,630.0,617.0,-2.5,-332523.0,SL,False,1
UANG,2025-10-02,2025-10-03,4750.0,4892.0,2.5,333914.0,TP,True,1
TINS,2025-10-02,2025-10-03,1915.0,1972.0,2.5,333914.0,TP,True,1
IDPR,2025-10-02,2025-10-03,434.0,425.0,-2.5,-333914.0,SL,False,1
PDES,2025-10-02,2025-10-03,620.0,608.0,-2.5,-333914.0,SL,False,1
PBSA,2025-10-02,2025-10-03,885.0,867.0,-2.5,-333914.0,SL,False,1
UANG,2025-10-03,2025-10-06,5925.0,5806.0,-2.5,-332523.0,SL,False,1
IDPR,2025-10-03,2025-10-06,498.0,513.0,2.5,332523.0,TP,True,1
MLPT,2025-10-03,2025-10-06,179300.0,184679.0,2.5,332523.0,TP,True,1
NIKL,2025-10-03,2025-10-06,300.0,309.0,2.5,332523.0,TP,True,1
PYFA,2025-10-03,2025-10-06,570.0,559.0,-2.5,-332523.0,SL,False,1
RICY,2025-10-06,2025-10-07,65.0,64.0,-2.5,-333908.0,SL,False,1
SIMP,2025-10-06,2025-10-07,590.0,578.0,-2.5,-333908.0,SL,False,1
MSKY,2025-10-06,2025-10-07,90.0,88.0,-2.5,-333908.0,SL,False,1
FORU,2025-10-06,2025-10-07,1040.0,1019.0,-2.5,-333908.0,SL,False,1
GGRM,2025-10-06,2025-10-07,12625.0,12372.0,-2.5,-333908.0,SL,False,1
NIKL,2025-10-07,2025-10-08,466.0,457.0,-2.5,-326952.0,SL,False,1
TALF,2025-10-07,2025-10-08,450.0,441.0,-2.5,-326952.0,SL,False,1
GGRM,2025-10-07,2025-10-08,11900.0,11662.0,-2.5,-326952.0,SL,False,1
MLPT,2025-10-07,2025-10-08,214900.0,210602.0,-2.5,-326952.0,SL,False,1
LSIP,2025-10-07,2025-10-09,1255.0,1293.0,2.5,326952.0,TP,True,2
GGRM,2025-10-08,2025-10-09,11300.0,11639.0,2.5,321503.0,TP,True,1
FOOD,2025-10-08,2025-10-09,180.0,176.0,-2.5,-321503.0,SL,False,1
TNCA,2025-10-08,2025-10-09,272.0,267.0,-2.5,-321503.0,SL,False,1
PPRE,2025-10-08,2025-10-09,85.0,88.0,2.5,321503.0,TP,True,1
MORA,2025-10-09,2025-10-10,730.0,752.0,2.5,322865.0,TP,True,1
GWSA,2025-10-09,2025-10-10,145.0,142.0,-2.5,-322865.0,SL,False,1
GIAA,2025-10-09,2025-10-10,105.0,108.0,2.5,322865.0,TP,True,1
MLPT,2025-10-09,2025-10-10,191900.0,188062.0,-2.5,-322865.0,SL,False,1
COCO,2025-10-09,2025-10-10,290.0,299.0,2.5,322865.0,TP,True,1
MORA,2025-10-10,2025-10-13,910.0,892.0,-2.5,-324210.0,SL,False,1
MDRN,2025-10-10,2025-10-13,72.0,74.0,2.5,324210.0,TP,True,1
SOSS,2025-10-10,2025-10-13,835.0,818.0,-2.5,-324210.0,SL,False,1
YELO,2025-10-10,2025-10-13,76.0,74.0,-2.5,-324210.0,SL,False,1
GIAA,2025-10-13,2025-10-14,126.0,123.0,-2.5,-321509.0,SL,False,1
KIOS,2025-10-13,2025-10-14,73.0,72.0,-2.5,-321509.0,SL,False,1
FIRE,2025-10-13,2025-10-14,88.0,86.0,-2.5,-321509.0,SL,False,1
MDRN,2025-10-13,2025-10-14,79.0,77.0,-2.5,-321509.0,SL,False,1
LINK,2025-10-10,2025-10-15,3220.0,3156.0,-2.5,-324210.0,SL,False,3
NRCA,2025-10-14,2025-10-15,795.0,779.0,-2.5,-316150.0,SL,False,1
KIOS,2025-10-14,2025-10-15,70.0,69.0,-2.5,-316150.0,SL,False,1
SONA,2025-10-14,2025-10-15,3400.0,3502.0,2.5,316150.0,TP,True,1
MIRA,2025-10-14,2025-10-16,54.0,53.0,-2.5,-316150.0,SL,False,2
FIRE,2025-10-15,2025-10-16,79.0,81.0,2.5,313482.0,TP,True,1
NRCA,2025-10-15,2025-10-16,775.0,798.0,2.5,313482.0,TP,True,1
KIOS,2025-10-15,2025-10-16,63.0,62.0,-2.5,-313482.0,SL,False,1
BNBA,2025-10-15,2025-10-16,630.0,649.0,2.5,313482.0,TP,True,1
MLPL,2025-10-16,2025-10-17,178.0,174.0,-2.5,-314777.0,SL,False,1
LINK,2025-10-16,2025-10-17,2640.0,2587.0,-2.5,-314777.0,SL,False,1
SONA,2025-10-16,2025-10-17,2990.0,2930.0,-2.5,-314777.0,SL,False,1
KICI,2025-10-16,2025-10-17,266.0,261.0,-2.5,-314777.0,SL,False,1
RANC,2025-10-16,2025-10-17,810.0,794.0,-2.5,-314777.0,SL,False,1
SMBR,2025-10-17,2025-10-20,250.0,258.0,2.5,308219.0,TP,True,1
MPPA,2025-10-17,2025-10-20,60.0,62.0,2.5,308219.0,TP,True,1
HRUM,2025-10-17,2025-10-20,1080.0,1058.0,-2.5,-308219.0,SL,False,1
NRCA,2025-10-17,2025-10-20,755.0,778.0,2.5,308219.0,TP,True,1
DSSA,2025-10-17,2025-10-20,3966.0,4085.0,2.5,308219.0,TP,True,1
LINK,2025-10-20,2025-10-21,2300.0,2369.0,2.5,312072.0,TP,True,1
FISH,2025-10-20,2025-10-21,1980.0,1940.0,-2.5,-312072.0,SL,False,1
